time,user,hostname,pipeline,resize,detector_pre,detector_model,detector_post,extract_roi,landmark_pre,landmark_model,landmark_post,annotate,total,fps
2025-07-25 21:51:29.515097,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.003767251968383789,0.0035692929959623143,0.07636716500564944,0.0010916250030277297,0,0,0,0,0,0.08479533497302327,11.793101593597564
2025-07-25 21:52:28.407233,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.004106044769287109,0.003966308999224566,0.07658049000019673,0.0013729689962929115,0.0026106834411621094,0.00024988701625261456,0.016635830004815944,8.4892992163077e-05,0.0004897117614746094,0.10609681798086967,9.42535336149582
2025-07-25 21:57:11.310029,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.004862785339355469,0.00281317500048317,0.06477614499453921,0.0012753679911838844,0.0020723342895507812,0.0002232730039395392,0.0166625989950262,8.775699825491756e-05,0.0004737377166748047,0.09324717432900798,10.724185555174653
2025-07-25 21:57:11.361346,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008139610290527344,0.00040050598909147084,0.028041440004017204,0.0013501060020644218,0.0016071796417236328,8.572498336434364e-05,0.014906727999914438,8.848600555211306e-05,0.0003917217254638672,0.047685853380244225,20.970579933341195
2025-07-25 21:57:11.394077,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007369518280029297,0.0003650379949249327,0.026899920994765125,0.0009552770061418414,0,0,0,0,0,0.02895718782383483,34.53374015749189
2025-07-25 21:57:11.426321,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008189678192138672,0.0003687879943754524,0.026914868009043857,0.0009451209916733205,0,0,0,0,0,0.029047744814306498,34.42608045453096
2025-07-25 21:57:11.485409,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008080005645751953,0.0003625899989856407,0.026838360005058348,0.0009837129910010844,0,0,0,0,0,0.02899266355962027,34.491484300626894
2025-07-25 21:57:11.553699,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008139610290527344,0.00036410000757314265,0.026867786000366323,0.0009663180098868906,0,0,0,0,0,0.02901216504687909,34.46829970752467
2025-07-25 21:57:11.621469,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007770061492919922,0.0003644130047177896,0.02688101500098128,0.0009572559938533232,0,0,0,0,0,0.028979690148844384,34.506925190153446
2025-07-25 21:57:11.686869,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008070468902587891,0.00036602799082174897,0.02692059699620586,0.0009644950041547418,0,0,0,0,0,0.02905816688144114,34.413733119506574
2025-07-25 21:57:11.753688,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007305145263671875,0.0003758200036827475,0.026827526991837658,0.0009805880108615384,0,0,0,0,0,0.02891444953274913,34.58478429158329
2025-07-25 21:57:11.819619,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007932186126708984,0.00038764199416618794,0.028764225004124455,0.0009808480099309236,0,0,0,0,0,0.030925933620892465,32.33532129566609
2025-07-25 21:57:11.887581,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007998943328857422,0.0003860790020553395,0.028716725995764136,0.0010052750003524125,0,0,0,0,0,0.03090797433105763,32.35410995521496
2025-07-25 21:57:11.948838,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008342266082763672,0.0004111820016987622,0.029983136992086656,0.0010487620020285249,0,0,0,0,0,0.03227730760409031,30.981518417393524
2025-07-25 21:57:12.005386,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008130073547363281,0.0003945680073229596,0.030075426009716466,0.0010167330037802458,0,0,0,0,0,0.032299734375556,30.960006926768614
2025-07-25 21:57:12.064843,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007634162902832031,0.0004003490030299872,0.030018917997949757,0.0010438669996801764,0,0,0,0,0,0.03222655029094312,31.03031478616058
2025-07-25 21:57:12.120776,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007793903350830078,0.00039540200668852776,0.030038343000342138,0.0010453249997226521,0,0,0,0,0,0.032258460341836326,30.99961961616283
2025-07-25 21:57:12.183966,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0010080337524414062,0.000462847005110234,0.02970720999292098,0.0010895939922193065,0,0,0,0,0,0.03226768474269193,30.99075771857114
2025-07-25 21:57:12.236202,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008032321929931641,0.0004081089864484966,0.029155929005355574,0.0012080269953003153,0,0,0,0,0,0.03157529718009755,31.6703274175458
2025-07-25 21:57:12.295898,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008137226104736328,0.0004035789897898212,0.02909947300213389,0.0010755849943961948,0,0,0,0,0,0.03139235959679354,31.854884845997415
2025-07-25 21:57:12.353090,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0008065700531005859,0.00039857899537310004,0.030122037991532125,0.001006524995318614,0,0,0,0,0,0.032333712035324425,30.92747281560202
2025-07-25 21:57:12.413683,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007810592651367188,0.0004010260017821565,0.03006448899395764,0.0010247519967379048,0,0,0,0,0,0.03227132625761442,30.98726070373541
2025-07-25 21:57:12.468517,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007669925689697266,0.00040097400778904557,0.02998298199963756,0.0010323559981770813,0,0,0,0,0,0.03218330457457341,31.072011193967175
2025-07-25 21:57:12.528569,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007627010345458984,0.00040206800622399896,0.02996188799443189,0.001041835013893433,0,0,0,0,0,0.03216849204909522,31.086318826316457
2025-07-25 21:57:12.585760,root,sm2s-qcs6490-36n08f1c,blaze_tflite,0.0007467269897460938,0.0004007139941677451,0.03007662299205549,0.0010073579906020314,0,0,0,0,0,0.03223142196657136,31.02562465401447
