time,user,hostname,pipeline,resize,detector_pre,detector_model,detector_post,extract_roi,landmark_pre,landmark_model,landmark_post,annotate,total,fps
2024-09-28 03:33:09.034015,root,maaxboardosm93,blaze_tflite,0.00963046600000439,0.006188666000014109,0.008464057999987062,0.00826626700001043,0.0,0.0,0.0,0.0,0.0,0.03254945700001599,30.72247871906154
2024-09-28 03:33:09.057076,root,maaxboardosm93,blaze_tflite,0.0028272979999997006,0.0047318619999998646,0.008289730000001327,0.005049678000005997,0.0,0.0,0.0,0.0,0.0,0.02089856800000689,47.850168489997515
2024-09-28 04:08:16.937000,root,maaxboardosm93,blaze_tflite,0.010907416000009107,0.0025150409996967937,0.010731365000083315,0.003536092000103963,0.0,0.0,0.0,0.0,0.0,0.02768991399989318,36.11423278540546
2024-09-28 04:08:16.984004,root,maaxboardosm93,blaze_tflite,0.0034665460002543114,0.0015081159999681404,0.010725531999923987,0.0039046100000632578,0.0,0.0,0.0,0.0,0.0,0.019604804000209697,51.007906020856105
2024-09-28 04:08:17.046265,root,maaxboardosm93,blaze_tflite,0.002684175000013056,0.0012486040000112553,0.010607233999962773,0.003192032999777439,0.0,0.0,0.0,0.0,0.0,0.017732045999764523,56.395071387322126
2024-09-28 04:08:17.113950,root,maaxboardosm93,blaze_tflite,0.0025727099996402103,0.0012874379999630037,0.010625776999859227,0.0029120200001671037,0.0,0.0,0.0,0.0,0.0,0.017397944999629544,57.47805272526687
2024-09-28 04:08:17.194048,root,maaxboardosm93,blaze_tflite,0.0025417089996153663,0.0012554370000543713,0.01064465299987205,0.002905061000092246,0.0,0.0,0.0,0.0,0.0,0.017346859999634034,57.64732061140154
2024-09-28 04:08:17.249698,root,maaxboardosm93,blaze_tflite,0.0023706179999862798,0.0013959860002614732,0.010729281999829254,0.002895393000017066,0.0,0.0,0.0,0.0,0.0,0.017391279000094073,57.50008380606112
2024-09-28 04:08:17.318891,root,maaxboardosm93,blaze_tflite,0.001911844000005658,0.0013945690002401534,0.010669070999938413,0.006090760000006412,0.0,0.0,0.0,0.0,0.0,0.020066244000190636,49.834936722113994
2024-09-28 04:08:17.384323,root,maaxboardosm93,blaze_tflite,0.002342700000099285,0.0012938559998474375,0.010686113000247133,0.002709759000026679,0.0,0.0,0.0,0.0,0.0,0.017032428000220534,58.71153543035979
2024-09-28 04:08:17.449130,root,maaxboardosm93,blaze_tflite,0.001846717000262288,0.0013028559997110278,0.010695237999698293,0.0028867259998150985,0.0,0.0,0.0,0.0,0.0,0.016731536999486707,59.767372240259704
2024-09-28 04:08:17.518247,root,maaxboardosm93,blaze_tflite,0.002433703999940917,0.008988154000235227,0.010897206999743503,0.002858308000213583,0.0,0.0,0.0,0.0,0.0,0.02517737300013323,39.71820253029212
2024-09-28 04:08:17.577966,root,maaxboardosm93,blaze_tflite,0.0024525389999325853,0.001276730000427051,0.010715948000324715,0.002946938000150112,0.0,0.0,0.0,0.0,0.0,0.017392155000834464,57.49718766604947
